,id,Degree,In-degree,Out-degree,Weighted degree,Weighted in-degree,Weighted out-degree,Clustering coefficient,Pagerank,Degree centrality,In-degree centrality,Out-degree centrality,Betweenness centrality,Clossness centrality,Eigenvector centrality,Katz centrality,Harmonic centrality,Load centrality,Mean shortest path length,Max shortest path length
42,31; Cementiri,2,1,1,2.0,1.0,1.0,0.0,0.00207110850509072,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.007364775886455641,0.05904595695171611,0.04451393154950687,0.06820274644839612,15.998677871480377,0.007364775886455641,15.91,36
43,32; Clarassó,2,1,1,2.0,1.0,1.0,0.0,0.003611640148053343,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.06213724820757938,0.03552055993000875,0.0002800232374108401,0.06805968838496476,10.068374721130843,0.06213724820757938,28.39,46
44,128; Constantí 1,2,1,1,4.0,2.0,2.0,0.0,0.0047865483086377905,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.10593165227852834,0.05321100917431193,0.007982791853331082,0.0680605888146511,14.73071722457361,0.10833780422377214,15.84,36
45,127; Constantí 2,2,1,1,2.0,1.0,1.0,0.0,0.00207110850509072,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.019558113446812662,0.0592873831775701,0.04451393154950687,0.06820274644839612,16.115344538147042,0.019558113446812662,18.32,43
46,39; Dipòsit de vehicles 1,2,1,1,2.0,1.0,1.0,0.0,0.004721508279774684,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.030091906314853246,6.239087130770294e-05,0.06805968838496476,8.889357484712448,0.08493878944544701,18.95,37
47,38; Dipòsit de vehicles 2,2,1,1,2.0,1.0,1.0,0.0,0.003159903947134126,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.046645220588235295,0.007404717219679559,0.06805968838496476,12.298858832432394,0.08493878944544701,30.68,51
48,42; Doctor  Vilaseca 2,2,1,1,2.0,1.0,1.0,0.0,0.0021319912864514725,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.018936253231234455,0.0705596107055961,0.06577682904061831,0.06888412058070087,19.81923223169112,0.018936253231234455,20.93,39
49,43; Doctor Vilaseca 1,6,3,3,12.0,6.0,6.0,0.0,0.010113943632322082,0.029556650246305417,0.014778325123152709,0.014778325123152709,0.22982409078346264,0.07400656215822092,0.12711932939446174,0.08244437726892126,23.234713963232903,0.22944203287323808,12.71,30
50,41; Dom Bosco 1,2,1,1,6.0,3.0,3.0,0.0,0.006483580888855312,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.13768310328569805,0.07120308663626798,0.03044867172175808,0.06874846196666472,19.12639185822309,0.1380285811832415,16.79,35
51,40; Dom Bosco 2,2,1,1,6.0,3.0,3.0,0.0,0.0036706451825209633,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.03601911915329464,0.05576923076923077,0.027939350465938775,0.06805969451033678,14.570267255660903,0.03601911915329464,17.68,43
52,221; E. Eduard Toda 1,2,1,1,2.0,1.0,1.0,0.0,0.002549136148375649,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.027703262937131153,0.03803635000936856,0.0010947332032754816,0.06805968838496476,10.667702088920237,0.027703262937131153,22.89,44
53,222; E. Eduard Toda 2,2,1,1,4.0,2.0,2.0,0.0,0.00405810317771135,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.033369100456843714,0.05940883816213052,0.03595979265738195,0.06826387153574279,17.22464167509532,0.03373896502950788,19.56,42
54,45; El Pinar,2,1,1,2.0,1.0,1.0,0.0,0.002430631063323093,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.007316002536214213,0.06614532420984034,0.1932847747280388,0.06883235506179448,19.00543759072496,0.007316002536214213,18.8,37
55,44; El Pinar 1 (fora de servei),2,1,1,2.0,1.0,1.0,0.0,0.002430631063323093,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.007316002536214213,0.06614532420984034,0.1932847747280388,0.06883235506179448,19.00543759072496,0.007316002536214213,18.8,37
56,209; Escola Alba,2,1,1,4.0,2.0,2.0,0.0,0.0038339034731557434,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.12871287128712872,0.05868748193119399,0.040637241531837516,0.06806045405646675,15.434219132600589,0.12871287128712872,17.92,37
57,33; Escola M. Fortuny 1,2,1,1,4.0,2.0,2.0,0.0,0.0048806341920328645,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.05750377993464372,0.04113475177304964,0.0020651218265017243,0.06805968838496476,11.41083638108588,0.057503779934643715,17.33,37
58,34; Escola M. Fortuny 2,3,2,1,4.0,2.0,2.0,0.0,0.004826299033558631,0.014778325123152709,0.009852216748768473,0.0049261083743842365,0.057503779934643715,0.05768684285308326,0.03151965501395348,0.07488607247585302,17.64617224071551,0.057503779934643715,24.27,45
59,210; Escola d'idiomes i art,2,1,1,4.0,2.0,2.0,0.0,0.003645173176729021,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.12871287128712872,0.06209850107066381,0.057125937028059764,0.06806740022833278,16.4577772022113,0.12871287128712872,18.85,38
60,46; Estació Autobusos 1,4,2,2,4.0,2.0,2.0,0.08333333333333333,0.004602016360523475,0.019704433497536946,0.009852216748768473,0.009852216748768473,0.0658033783673934,0.06937799043062201,0.029301822057006273,0.07690950336609755,22.27062833639919,0.06820953031263718,19.44,41
61,47; Estació Autobusos 2,7,4,3,10.0,5.0,5.0,0.0,0.009329923828922539,0.034482758620689655,0.019704433497536946,0.014778325123152709,0.33473556715277436,0.0665792062971466,0.07105563307849004,0.0884783709850886,22.55643303411017,0.332341608545091,13.81,38
62,49; Estadi Municipal 1,3,2,1,4.0,2.0,2.0,0.0,0.006545476747913618,0.014778325123152709,0.009852216748768473,0.0049261083743842365,0.12871287128712872,0.0539463194259899,0.014652295250961333,0.07486565661092404,15.938215376477006,0.12871287128712872,16.43,34
